Name
"Balon Greyjoy"
"Arya Stark"
"Barristan Selmy"
"Brienne of Tarth"
"Benjen Stark"
"Catelyn Tully"
"Bran Stark"
"Cersei Lannister"
"Bronn"
"Daenerys Targaryen"
"Davos Seaworth"
"Lysa Tully"
"Eddard Stark"
"Margaery Tyrell"
"Edmure Tully"
"Meera Reed"
"Gendry"
"Melisandre"
"Gregor Clegane"
"Myrcella Baratheon"
"Hodor"
"Olenna Redwyne"
"Ilyn Payne"
"Osha"
"Jaqen H’ghar"
"Roslin Frey"
"Jaime Lannister"
"Sansa Stark"
"Jeor Mormont"
"Shae"
"Joffrey Baratheon"
"Ygritte"
"Jojen Reed"
"Talisa"
"Jon Arryn"
"Yara Greyjoy"
"Jon Snow"
"Jorah Mormont"
"Khal Drogo"
"Lancel Lannister"
"Loras Tyrell"
"Mace Tyrell"
"Mance Rayder"
"Orell"
"Petyr Baelish"
"Podrick Payne"
"Pycell"
"Ramsay Snow"
"Renly Baratheon"
"Robb Stark"
"Robert Baratheon"
"Rickon Stark"
"Roose Bolton"
"Samwell Tarly"
"Sandor Clegane"
"Stannis Baratheon"
"Theon Greyjoy"
"Tommen Baratheon"
"Tyrion Lannister"
"Tywin Lannister"
"Varys"
"Viserys Targaryen"
"Walder Frey"
